x,y,ux,uy
7.6,0.5,-0.000668485,-0.0939397
7.7,0.5,-0.000684609,-0.0957375
7.8,0.5,-0.00070078,-0.097538
7.9,0.5,-0.000716995,-0.0993407
8,0.5,-0.00073325,-0.101146
8.1,0.5,-0.00074954,-0.102952
8.2,0.5,-0.000765861,-0.104761
8.3,0.5,-0.000782211,-0.106571
8.4,0.5,-0.000798585,-0.108382
8.5,0.5,-0.000814981,-0.110194
8.6,0.5,-0.000831395,-0.112007
8.7,0.5,-0.000847824,-0.113821
8.8,0.5,-0.000864266,-0.115635
8.9,0.5,-0.000880718,-0.11745
9,0.5,-0.000897178,-0.119265
9.1,0.5,-0.000913644,-0.121081
9.2,0.5,-0.000930114,-0.122897
9.3,0.5,-0.000946586,-0.124712
9.4,0.5,-0.000963059,-0.126528
9.5,0.5,-0.000979531,-0.128343
9.6,0.5,-0.000996002,-0.130159
9.7,0.5,-0.00101247,-0.131974
9.8,0.5,-0.00102894,-0.133789
9.9,0.5,-0.0010454,-0.135603
10,0.5,-0.00106185,-0.137417
0,0.6,0,0
0.1,0.6,4.26E-05,-8.31E-06
0.2,0.6,9.12E-05,-9.59E-05
0.3,0.6,0.000142893,-0.000248312
0.4,0.6,0.000194986,-0.000456672
0.5,0.6,0.000246048,-0.000716438
0.6,0.6,0.000295606,-0.00102531
0.7,0.6,0.000343625,-0.00138192
0.8,0.6,0.000390195,-0.00178525
0.9,0.6,0.00043541,-0.00223434
1,0.6,0.000479333,-0.00272826
1.1,0.6,0.000521999,-0.00326606
1.2,0.6,0.000563428,-0.00384679
1.3,0.6,0.000603627,-0.00446948
1.4,0.6,0.000642603,-0.00513319
1.5,0.6,0.000680357,-0.00583697
1.6,0.6,0.000716893,-0.0065799
1.7,0.6,0.000752214,-0.00736104
1.8,0.6,0.000786323,-0.00817948
1.9,0.6,0.000819227,-0.00903433
2,0.6,0.000850931,-0.00992469
2.1,0.6,0.000881441,-0.0108497
2.2,0.6,0.000910765,-0.0118084
2.3,0.6,0.000938911,-0.0128001
2.4,0.6,0.000965888,-0.0138238
2.5,0.6,0.000991706,-0.0148787
2.6,0.6,0.00101637,-0.0159641
2.7,0.6,0.0010399,-0.017079
2.8,0.6,0.00106231,-0.0182227
2.9,0.6,0.0010836,-0.0193943
3,0.6,0.00110378,-0.0205932
3.1,0.6,0.00112288,-0.0218185
3.2,0.6,0.0011409,-0.0230695
3.3,0.6,0.00115786,-0.0243454
3.4,0.6,0.00117377,-0.0256456
3.5,0.6,0.00118865,-0.0269691
3.6,0.6,0.00120251,-0.0283154
3.7,0.6,0.00121537,-0.0296838
3.8,0.6,0.00122725,-0.0310735
3.9,0.6,0.00123815,-0.0324839
4,0.6,0.00124811,-0.0339142
4.1,0.6,0.00125712,-0.0353639
4.2,0.6,0.00126521,-0.0368323
4.3,0.6,0.00127241,-0.0383188
4.4,0.6,0.00127871,-0.0398226
4.5,0.6,0.00128415,-0.0413432
4.6,0.6,0.00128873,-0.0428801
4.7,0.6,0.00129248,-0.0444325
4.8,0.6,0.00129542,-0.046
4.9,0.6,0.00129756,-0.0475819
5,0.6,0.00129892,-0.0491776
5.1,0.6,0.00129951,-0.0507867
5.2,0.6,0.00129936,-0.0524086
5.3,0.6,0.00129849,-0.0540428
5.4,0.6,0.0012969,-0.0556886
