x,y,sxx,sxy,syy
1.2605,0.040404,-210.505,-2.04517,0.036171
1.34454,0.040404,-206.475,-2.02575,0.0361041
1.42857,0.040404,-202.482,-2.00612,0.0360803
1.51261,0.040404,-198.529,-1.98643,0.0360747
1.59664,0.040404,-194.615,-1.96672,0.0360756
1.68067,0.040404,-190.74,-1.94702,0.0360782
1.76471,0.040404,-186.903,-1.92733,0.0360805
1.84874,0.040404,-183.106,-1.90765,0.0360823
1.93277,0.040404,-179.348,-1.88798,0.0360834
2.01681,0.040404,-175.629,-1.8683,0.0360841
2.10084,0.040404,-171.948,-1.84864,0.0360845
2.18487,0.040404,-168.307,-1.82897,0.0360847
2.26891,0.040404,-164.704,-1.8093,0.0360848
2.35294,0.040404,-161.141,-1.78963,0.0360848
2.43697,0.040404,-157.616,-1.76997,0.0360848
